Bulbasaur,GRASS,POISON,318,45,49,49,65,65,45
Ivysaur,GRASS,POISON,405,60,62,63,80,80,60
Venusaur,GRASS,POISON,525,80,82,83,100,100,80
Charmander,FIRE,,309,39,52,43,60,50,65
Charmeleon,FIRE,,405,58,64,58,80,65,80
Charizard,FIRE,FLYING,534,78,84,78,109,85,100
Squirtle,WATER,,314,44,48,65,50,64,43
Wartortle,WATER,,405,59,63,80,65,80,58
Blastoise,WATER,,530,79,83,100,85,105,78
Caterpie,BUG,,195,45,30,35,20,20,45
Metapod,BUG,,205,50,20,55,25,25,30
Butterfree,BUG,FLYING,395,60,45,50,90,80,70
Weedle,BUG,POISON,195,40,35,30,20,20,50
Kakuna,BUG,POISON,205,45,25,50,25,25,35
Beedrill,BUG,POISON,395,65,90,40,45,80,75
Pidgey,NORMAL,FLYING,251,40,45,40,35,35,56
Pidgeotto,NORMAL,FLYING,349,63,60,55,50,50,71
Pidgeot,NORMAL,FLYING,479,83,80,75,70,70,101
Rattata,NORMAL,,253,30,56,35,25,35,72
Raticate,NORMAL,,413,55,81,60,50,70,97
Spearow,NORMAL,FLYING,262,40,60,30,31,31,70
Fearow,NORMAL,FLYING,442,65,90,65,61,61,100
Ekans,POISON,,288,35,60,44,40,54,55
Arbok,POISON,,448,60,95,69,65,79,80
Pikachu,ELECTRIC,,320,35,55,40,50,50,90
Raichu,ELECTRIC,,485,60,90,55,90,80,110
Sandshrew,GROUND,,300,50,75,85,20,30,40
Sandslash,GROUND,,450,75,100,110,45,55,65
Nidoran_girl,POISON,,275,55,47,52,40,40,41
Nidorina,POISON,,365,70,62,67,55,55,56
Nidoqueen,POISON,GROUND,505,90,92,87,75,85,76
Nidoran_boy,POISON,,273,46,57,40,40,40,50
Nidorino,POISON,,365,61,72,57,55,55,65
Nidoking,POISON,GROUND,505,81,102,77,85,75,85
Clefairy,FAIRY,,323,70,45,48,60,65,35
Clefable,FAIRY,,483,95,70,73,95,90,60
Vulpix,FIRE,,299,38,41,40,50,65,65
Ninetales,FIRE,,505,73,76,75,81,100,100
Jigglypuff,NORMAL,FAIRY,270,115,45,20,45,25,20
Wigglytuff,NORMAL,FAIRY,435,140,70,45,85,50,45
Zubat,POISON,FLYING,245,40,45,35,30,40,55
Golbat,POISON,FLYING,455,75,80,70,65,75,90
Oddish,GRASS,POISON,320,45,50,55,75,65,30
Gloom,GRASS,POISON,395,60,65,70,85,75,40
Vileplume,GRASS,POISON,490,75,80,85,110,90,50
Paras,BUG,GRASS,285,35,70,55,45,55,25
Parasect,BUG,GRASS,405,60,95,80,60,80,30
Venonat,BUG,POISON,305,60,55,50,40,55,45
Venomoth,BUG,POISON,450,70,65,60,90,75,90
Diglett,GROUND,,265,10,55,25,35,45,95
Dugtrio,GROUND,,425,35,100,50,50,70,120
Meowth,NORMAL,,290,40,45,35,40,40,90
Persian,NORMAL,,440,65,70,60,65,65,115
Psyduck,WATER,,320,50,52,48,65,50,55
Golduck,WATER,,500,80,82,78,95,80,85
Mankey,FIGHTING,,305,40,80,35,35,45,70
Primeape,FIGHTING,,455,65,105,60,60,70,95
Growlithe,FIRE,,350,55,70,45,70,50,60
Arcanine,FIRE,,555,90,110,80,100,80,95
Poliwag,WATER,,300,40,50,40,40,40,90
Poliwhirl,WATER,,385,65,65,65,50,50,90
Poliwrath,WATER,FIGHTING,510,90,95,95,70,90,70
Abra,PSYCHIC,,310,25,20,15,105,55,90
Kadabra,PSYCHIC,,400,40,35,30,120,70,105
Alakazam,PSYCHIC,,500,55,50,45,135,95,120
Machop,FIGHTING,,305,70,80,50,35,35,35
Machoke,FIGHTING,,405,80,100,70,50,60,45
Machamp,FIGHTING,,505,90,130,80,65,85,55
Bellsprout,GRASS,POISON,300,50,75,35,70,30,40
Weepinbell,GRASS,POISON,390,65,90,50,85,45,55
Victreebel,GRASS,POISON,490,80,105,65,100,70,70
Tentacool,WATER,POISON,335,40,40,35,50,100,70
Tentacruel,WATER,POISON,515,80,70,65,80,120,100
Geodude,ROCK,GROUND,300,40,80,100,30,30,20
Graveler,ROCK,GROUND,390,55,95,115,45,45,35
Golem,ROCK,GROUND,495,80,120,130,55,65,45
Ponyta,FIRE,,410,50,85,55,65,65,90
Rapidash,FIRE,,500,65,100,70,80,80,105
Slowpoke,WATER,PSYCHIC,315,90,65,65,40,40,15
Slowbro,WATER,PSYCHIC,490,95,75,110,100,80,30
Magnemite,ELECTRIC,STEEL,325,25,35,70,95,55,45
Magneton,ELECTRIC,STEEL,465,50,60,95,120,70,70
Farfetch'd,NORMAL,FLYING,377,52,90,55,58,62,60
Doduo,NORMAL,FLYING,310,35,85,45,35,35,75
Dodrio,NORMAL,FLYING,470,60,110,70,60,60,110
Seel,WATER,,325,65,45,55,45,70,45
Dewgong,WATER,ICE,475,90,70,80,70,95,70
